metric,value,step
agent0/rewards/,-0.6616866588592529,1184.0
agent0/rewards/,-1.086044192314148,1188.0
agent0/rewards/,-1.0638461112976074,1192.0
agent0/rewards/,-0.7859792113304138,1196.0
agent0/rewards/,-1.0882318019866943,1200.0
agent0/rewards/,-0.8770686388015747,1204.0
agent0/rewards/,-0.905849814414978,1208.0
agent0/rewards/,-0.9665020108222961,1212.0
agent0/rewards/,-0.7903411984443665,1216.0
agent0/rewards/,-1.1005011796951294,1220.0
agent0/rewards/,-0.9803594946861267,1224.0
agent0/rewards/,-1.0956637859344482,1228.0
agent0/rewards/,-1.0426915884017944,1232.0
agent0/rewards/,-1.175411581993103,1236.0
agent0/rewards/,-0.890670657157898,1240.0
agent0/rewards/,-0.9198592901229858,1244.0
agent0/rewards/,-0.9047732353210449,1248.0
agent0/rewards/,-1.0645784139633179,1252.0
agent0/rewards/,-1.057007908821106,1256.0
agent0/rewards/,-0.933740496635437,1260.0
agent0/rewards/,-0.9303289651870728,1264.0
agent0/rewards/,-0.9169654250144958,1268.0
agent0/rewards/,-0.8862348794937134,1272.0
agent0/rewards/,-0.8778957724571228,1276.0
agent0/rewards/,-0.7569260597229004,1280.0
agent0/rewards/,-0.9298717975616455,1284.0
agent0/rewards/,-0.6664337515830994,1288.0
agent0/rewards/,-0.8024490475654602,1292.0
agent0/rewards/,-0.9656668901443481,1296.0
agent0/rewards/,-1.0647695064544678,1300.0
agent0/rewards/,-0.7886705994606018,1304.0
agent0/rewards/,-0.8028697371482849,1308.0
agent0/rewards/,-0.9631736278533936,1312.0
agent0/rewards/,-0.6793643236160278,1316.0
agent0/rewards/,-0.9180967807769775,1320.0
agent0/rewards/,-0.9130029678344727,1324.0
agent0/rewards/,-1.3342896699905396,1328.0
agent0/rewards/,-0.811087965965271,1332.0
agent0/rewards/,-0.6256992816925049,1336.0
agent0/rewards/,-0.9203866720199585,1340.0
agent0/rewards/,-1.0966148376464844,1344.0
agent0/rewards/,-0.7994237542152405,1348.0
agent0/rewards/,-0.6620128750801086,1352.0
agent0/rewards/,-0.7382871508598328,1356.0
agent0/rewards/,-0.5868932008743286,1360.0
agent0/rewards/,-1.0069539546966553,1364.0
agent0/rewards/,-0.7828302383422852,1368.0
agent0/rewards/,-1.0447384119033813,1372.0
agent0/rewards/,-0.7116266489028931,1376.0
agent0/rewards/,-0.9707167744636536,1380.0
agent0/rewards/,-0.8077647686004639,1384.0
agent0/rewards/,-0.8349853754043579,1388.0
agent0/rewards/,-1.0093692541122437,1392.0
agent0/rewards/,-0.8418079614639282,1396.0
agent0/rewards/,-0.7384577989578247,1400.0
agent0/rewards/,-1.210644006729126,1404.0
agent0/rewards/,-0.6053639054298401,1408.0
agent0/rewards/,-0.6751531362533569,1412.0
agent0/rewards/,-0.951255738735199,1416.0
agent0/rewards/,-1.1253118515014648,1420.0
agent0/rewards/,-0.7440249919891357,1424.0
agent0/rewards/,-1.0195552110671997,1428.0
agent0/rewards/,-0.7708297967910767,1432.0
agent0/rewards/,-0.7688425183296204,1436.0
agent0/rewards/,-1.1063176393508911,1440.0
agent0/rewards/,-1.1355841159820557,1444.0
agent0/rewards/,-0.8741535544395447,1448.0
agent0/rewards/,-0.8141499757766724,1452.0
agent0/rewards/,-0.8905600309371948,1456.0
agent0/rewards/,-1.0784063339233398,1460.0
agent0/rewards/,-0.951650857925415,1464.0
agent0/rewards/,-0.7044876217842102,1468.0
agent0/rewards/,-0.9877913594245911,1472.0
agent0/rewards/,-0.826909065246582,1476.0
agent0/rewards/,-0.8043960928916931,1480.0
agent0/rewards/,-0.8435647487640381,1484.0
agent0/rewards/,-1.177363395690918,1488.0
agent0/rewards/,-0.8483151793479919,1492.0
agent0/rewards/,-0.9736137390136719,1496.0
agent0/rewards/,-0.891322135925293,1500.0
agent0/rewards/,-0.9655466079711914,1504.0
agent0/rewards/,-0.9487126469612122,1508.0
agent0/rewards/,-0.817152202129364,1512.0
agent0/rewards/,-0.6270408630371094,1516.0
agent0/rewards/,-0.891985297203064,1520.0
agent0/rewards/,-0.8803257346153259,1524.0
agent0/rewards/,-0.7334052324295044,1528.0
agent0/rewards/,-0.6815795302391052,1532.0
agent0/rewards/,-0.6672216057777405,1536.0
agent0/rewards/,-0.7869700193405151,1540.0
agent0/rewards/,-0.9151701927185059,1544.0
agent0/rewards/,-1.0748257637023926,1548.0
agent0/rewards/,-1.1678320169448853,1552.0
agent0/rewards/,-0.8593459129333496,1556.0
agent0/rewards/,-0.891670286655426,1560.0
agent0/rewards/,-0.7559365630149841,1564.0
agent0/rewards/,-1.025524377822876,1568.0
agent0/rewards/,-0.9435822367668152,1572.0
agent0/rewards/,-1.0251795053482056,1576.0
agent0/rewards/,-0.6488377451896667,1580.0
agent0/rewards/,-0.8573765754699707,1584.0
agent0/rewards/,-1.1223052740097046,1588.0
agent0/rewards/,-0.8663848638534546,1592.0
agent0/rewards/,-1.0613921880722046,1596.0
agent0/rewards/,-1.277032732963562,1600.0
agent0/rewards/,-1.0509520769119263,1604.0
agent0/rewards/,-1.1000404357910156,1608.0
agent0/rewards/,-0.9893999099731445,1612.0
agent0/rewards/,-0.7639394402503967,1616.0
agent0/rewards/,-0.935240626335144,1620.0
agent0/rewards/,-0.9382739067077637,1624.0
agent0/rewards/,-0.9479661583900452,1628.0
agent0/rewards/,-1.0836645364761353,1632.0
agent0/rewards/,-1.0296481847763062,1636.0
agent0/rewards/,-0.8095219135284424,1640.0
agent0/rewards/,-0.9701276421546936,1644.0
agent0/rewards/,-0.6462860107421875,1648.0
agent0/rewards/,-0.8707571029663086,1652.0
agent0/rewards/,-0.8680439591407776,1656.0
agent0/rewards/,-1.0054104328155518,1660.0
agent0/rewards/,-0.9634060859680176,1664.0
agent0/rewards/,-0.945765495300293,1668.0
agent0/rewards/,-0.9395952820777893,1672.0
agent0/rewards/,-0.8548766374588013,1676.0
agent0/rewards/,-0.8440401554107666,1680.0
agent0/rewards/,-0.9049771428108215,1684.0
